var index, score
110,0.906011
41,0.908332
70,0.910654
31,0.912976
59,0.914714
4,0.915876
66,0.917036
43,0.917614
67,0.918193
12,0.918773
14,0.919355
12,0.921087
68,0.923409
14,0.925150
62,0.926891
34,0.927469
1,0.928049
15,0.929210
74,0.930369
53,0.931527
0,0.932688
59,0.934429
70,0.934429
76,0.936170
30,0.935590
20,0.935008
6,0.934432
46,0.934434
4,0.936754
66,0.937334
10,0.936756
1,0.936754
42,0.936178
10,0.936754
9,0.936753
17,0.936173
45,0.937334
59,0.936756
42,0.935595
49,0.935595
58,0.936175
10,0.936754
20,0.937336
39,0.938492
53,0.939075
28,0.940812
13,0.940811
16,0.940807
38,0.940806
50,0.940224
39,0.940228
61,0.941968
33,0.941970
5,0.943711
9,0.943711
21,0.943711
24,0.944289
33,0.944872
20,0.943718
42,0.943714
19,0.944877
6,0.944297
23,0.943713
3,0.944294
32,0.943716
13,0.943718
15,0.943140
35,0.942556
24,0.941975
39,0.940239
14,0.940241
4,0.939078
38,0.938498
19,0.939658
13,0.939658
14,0.940238
4,0.941394
0,0.940811
34,0.940811
24,0.940231
24,0.938485
27,0.940222
24,0.939639
4,0.937904
0,0.936161
16,0.935000
13,0.932098
6,0.930939
5,0.926879
11,0.926294
2,0.923975
6,0.921075
9,0.920490
12,0.917010
6,0.911790
17,0.910047
16,0.908303
14,0.909467
6,0.910049
7,0.905411
2,0.904243
3,0.899614
0,0.895548
1,0.892644
0,0.889751
2,0.888586
1,0.877555
1,0.863049
1,0.851434
1,0.832283
2,0.797474
1,0.744653
