var index, score
14,0.921084
71,0.924562
23,0.927460
17,0.929781
30,0.930361
92,0.932105
25,0.932105
56,0.932105
68,0.932683
0,0.932683
17,0.932683
31,0.933261
2,0.933844
5,0.933846
34,0.934425
35,0.935005
28,0.935585
28,0.935585
81,0.935008
11,0.934429
52,0.933849
15,0.933269
71,0.933269
57,0.932108
55,0.931525
35,0.930947
59,0.930366
79,0.930945
14,0.931523
18,0.930944
8,0.930364
58,0.930944
9,0.930944
66,0.931523
40,0.932683
28,0.933264
2,0.933259
40,0.933841
63,0.933264
70,0.932685
37,0.932681
45,0.932103
33,0.932685
42,0.932686
4,0.932107
18,0.931525
54,0.932108
65,0.931530
20,0.930950
15,0.930371
20,0.929208
12,0.928047
36,0.927465
57,0.925723
4,0.925137
32,0.924552
23,0.922231
10,0.921653
46,0.919912
17,0.919914
41,0.919334
40,0.919912
22,0.920494
9,0.918748
16,0.917592
16,0.916422
28,0.916426
21,0.915263
8,0.916422
24,0.914681
34,0.913519
12,0.914102
40,0.911783
30,0.911198
18,0.908878
37,0.908298
30,0.908296
6,0.905399
6,0.906550
17,0.904815
6,0.904823
24,0.903652
2,0.901911
19,0.902494
15,0.899594
7,0.895531
3,0.890888
15,0.892632
14,0.886823
23,0.884493
5,0.883915
3,0.880999
0,0.879253
14,0.875785
16,0.875785
5,0.866490
0,0.863005
11,0.858938
4,0.846756
0,0.836881
6,0.826443
0,0.820650
6,0.814853
4,0.809641
0,0.800349
6,0.786411
5,0.754496
5,0.699948
3,0.639034
3,0.583921
2,0.564154
0,0.435300
