var index, score
99,0.909483
60,0.911223
81,0.912383
11,0.913542
12,0.914122
31,0.914703
67,0.915865
92,0.916446
0,0.917607
54,0.918763
56,0.919344
42,0.919924
100,0.920504
87,0.921085
37,0.921667
17,0.921667
24,0.921667
6,0.921668
42,0.922248
6,0.922248
60,0.922828
42,0.922828
46,0.923407
24,0.922828
30,0.922828
70,0.923409
64,0.923407
82,0.923406
49,0.923404
9,0.923399
33,0.923980
27,0.923979
12,0.923401
26,0.923401
2,0.924558
50,0.923979
46,0.923977
13,0.923394
8,0.924555
36,0.924553
1,0.923394
16,0.924553
42,0.923392
12,0.922814
25,0.922813
67,0.925137
39,0.925718
34,0.925718
7,0.925718
29,0.925135
50,0.925715
17,0.924555
8,0.923394
21,0.922816
48,0.923975
32,0.923975
43,0.924553
30,0.925133
20,0.924553
42,0.923972
20,0.924553
23,0.923975
24,0.922816
46,0.922813
37,0.923391
4,0.922808
18,0.922230
6,0.921072
24,0.921070
0,0.919911
32,0.920495
1,0.919336
40,0.918175
10,0.918168
2,0.919907
34,0.918748
28,0.918166
13,0.917004
34,0.914683
20,0.914681
6,0.912941
0,0.913525
15,0.913519
14,0.910617
9,0.908879
8,0.907139
24,0.905977
20,0.905398
13,0.902497
19,0.901911
13,0.899594
3,0.897855
3,0.896114
2,0.895527
4,0.892624
8,0.891463
1,0.886245
7,0.885074
0,0.882757
0,0.880445
3,0.878702
6,0.881020
0,0.876970
4,0.871166
8,0.863618
3,0.860728
1,0.865947
2,0.857814
1,0.849692
1,0.834602
2,0.782391
1,0.739439
