var index, score
6,0.816180
60,0.820666
69,0.822240
13,0.822725
99,0.823379
93,0.823677
26,0.823841
86,0.823996
3,0.823996
9,0.823996
41,0.824150
85,0.824140
26,0.824150
5,0.823996
15,0.823996
5,0.823996
28,0.823996
42,0.823996
34,0.824150
33,0.823996
38,0.824150
60,0.824141
58,0.823987
37,0.823832
88,0.823978
75,0.823978
2,0.824142
27,0.827990
51,0.828154
16,0.828483
42,0.828791
81,0.828781
70,0.829745
68,0.830203
6,0.830695
9,0.830839
61,0.830994
4,0.831158
8,0.831168
45,0.831312
0,0.831630
25,0.831631
21,0.831631
52,0.831631
33,0.831467
19,0.831314
1,0.831468
36,0.831313
8,0.831149
50,0.830995
61,0.831140
27,0.831468
19,0.831612
21,0.831457
15,0.831294
47,0.831468
23,0.831150
33,0.831150
33,0.831273
32,0.831129
9,0.830954
50,0.830956
35,0.830627
6,0.830297
26,0.830462
37,0.830454
32,0.830442
22,0.830277
17,0.830298
43,0.830320
8,0.830472
4,0.830945
39,0.830473
37,0.830339
15,0.830165
2,0.829980
31,0.830628
31,0.828528
11,0.827555
18,0.823068
27,0.825752
9,0.824642
12,0.820167
21,0.821635
9,0.817286
27,0.818084
5,0.818240
1,0.817779
2,0.814926
12,0.811649
14,0.807488
14,0.807624
6,0.802954
9,0.794784
10,0.793484
4,0.796229
0,0.797561
0,0.789001
7,0.776370
5,0.768978
9,0.767798
3,0.753082
5,0.771091
8,0.731304
2,0.708582
1,0.700750
4,0.672915
4,0.653969
4,0.610883
0,0.531624
0,0.378929
1,0.218721
